{'height': 4, 'width': 2, 'time': 57}
{'height': 4, 'width': 4, 'time': 55}
{'height': 8, 'width': 2, 'time': 60}
{'height': 8, 'width': 4, 'time': 48}
{'height': 16, 'width': 2, 'time': 46}
{'height': 16, 'width': 4, 'time': 54}
{'height': 32, 'width': 2, 'time': 52}
{'height': 32, 'width': 4, 'time': 59}
{'height': 64, 'width': 2, 'time': 48}
{'height': 64, 'width': 4, 'time': 48}
{'height': 128, 'width': 2, 'time': 50}
{'height': 128, 'width': 4, 'time': 48}
{'height': 256, 'width': 2, 'time': 60}
{'height': 256, 'width': 4, 'time': 48}
{'height': 512, 'width': 2, 'time': 48}
{'height': 512, 'width': 4, 'time': 49}
{'height': 1024, 'width': 2, 'time': 54}
{'height': 1024, 'width': 4, 'time': 58}
{'height': 2048, 'width': 2, 'time': 48}
{'height': 2048, 'width': 4, 'time': 49}
{'height': 4096, 'width': 2, 'time': 54}
{'height': 4096, 'width': 4, 'time': 50}
{'height': 8192, 'width': 2, 'time': 59}
{'height': 8192, 'width': 4, 'time': 50}
{'height': 16384, 'width': 2, 'time': 61}
{'height': 16384, 'width': 4, 'time': 52}
